DYNOmite Dynamometer Test Results

Universidad de Los Andes
Bogota Columbia 1423
573002078749

DYNOmite Test Run: Din Vehicular 1 #5 on 2013-11-18 @ 15-22-02,
Date: 11/18/2013,
Correction Method: Observed,

RPM (RPM),Hp (kW),Torque (N-m),
800,2.221,26.1,
900,3.699,39.2,
1000,5.380,51.2,
1100,7.688,67.2,
1200,9.016,72.0,
1300,9.648,71.1,
1400,10.14,69.2,
1500,10.51,66.9,
1600,10.79,64.5,
1900,22.15,108.7,
2000,24.31,114.9,
2100,26.32,117.2,
2200,27.35,116.6,
2300,29.17,119.3,
2400,31.33,122.5,
2500,31.59,120.9,
2600,33.20,121.9,
2700,34.94,123.3,
2800,37.12,124.6,
2900,38.14,125.2,
3000,39.87,125.0,
3100,41.10,125.8,
3200,41.31,123.9,
3300,42.37,123.4,
3400,43.15,122.7,
3500,43.90,120.7,
3600,45.43,120.3,
